Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.53003	0	0	5109	FullDelay	0.0800348	80034.8	1	4
1.54003	0	0	4475	LastDelay	0.0800348	80034.8	1	4
1.54003	0	0	4475	FullDelay	0.0800348	80034.8	1	4
1.55003	0	0	8174	LastDelay	0.0800348	80034.8	1	4
1.55003	0	0	8174	FullDelay	0.0800348	80034.8	1	4
1.56003	0	0	14	LastDelay	0.0800347	80034.7	1	4
1.56003	0	0	14	FullDelay	0.0800347	80034.7	1	4
1.57003	0	0	73	LastDelay	0.0800347	80034.7	1	4
1.57003	0	0	73	FullDelay	0.0800347	80034.7	1	4
1.58003	0	0	560	LastDelay	0.0800348	80034.8	1	4
1.58003	0	0	560	FullDelay	0.0800348	80034.8	1	4
1.59003	0	0	1567	LastDelay	0.0800348	80034.8	1	4
1.59003	0	0	1567	FullDelay	0.0800348	80034.8	1	4
1.60003	0	0	509	LastDelay	0.0800348	80034.8	1	4
1.60003	0	0	509	FullDelay	0.0800348	80034.8	1	4
1.61003	0	0	8264	LastDelay	0.0800348	80034.8	1	4
1.61003	0	0	8264	FullDelay	0.0800348	80034.8	1	4
1.62003	0	0	1110	LastDelay	0.0800348	80034.8	1	4
1.62003	0	0	1110	FullDelay	0.0800348	80034.8	1	4
1.63003	0	0	1207	LastDelay	0.0800348	80034.8	1	4
1.63003	0	0	1207	FullDelay	0.0800348	80034.8	1	4
1.64003	0	0	192	LastDelay	0.0800347	80034.7	1	4
1.64003	0	0	192	FullDelay	0.0800347	80034.7	1	4
1.65003	0	0	678	LastDelay	0.0800348	80034.8	1	4
1.65003	0	0	678	FullDelay	0.0800348	80034.8	1	4
1.66003	0	0	140	LastDelay	0.0800347	80034.7	1	4
1.66003	0	0	140	FullDelay	0.0800347	80034.7	1	4
1.67003	0	0	5671	LastDelay	0.0800348	80034.8	1	4
1.67003	0	0	5671	FullDelay	0.0800348	80034.8	1	4
1.68003	0	0	2840	LastDelay	0.0800348	80034.8	1	4
1.68003	0	0	2840	FullDelay	0.0800348	80034.8	1	4
1.69003	0	0	354	LastDelay	0.0800348	80034.8	1	4
1.69003	0	0	354	FullDelay	0.0800348	80034.8	1	4
1.70003	0	0	9492	LastDelay	0.0800348	80034.8	1	4
1.70003	0	0	9492	FullDelay	0.0800348	80034.8	1	4
1.71003	0	0	3687	LastDelay	0.0800348	80034.8	1	4
1.71003	0	0	3687	FullDelay	0.0800348	80034.8	1	4
1.72003	0	0	865	LastDelay	0.0800348	80034.8	1	4
1.72003	0	0	865	FullDelay	0.0800348	80034.8	1	4
1.73003	0	0	88	LastDelay	0.0800347	80034.7	1	4
1.73003	0	0	88	FullDelay	0.0800347	80034.7	1	4
1.74003	0	0	3322	LastDelay	0.0800348	80034.8	1	4
1.74003	0	0	3322	FullDelay	0.0800348	80034.8	1	4
1.75003	0	0	6	LastDelay	0.0800347	80034.7	1	4
1.75003	0	0	6	FullDelay	0.0800347	80034.7	1	4
1.76003	0	0	3865	LastDelay	0.0800348	80034.8	1	4
1.76003	0	0	3865	FullDelay	0.0800348	80034.8	1	4
1.77003	0	0	7089	LastDelay	0.0800348	80034.8	1	4
1.77003	0	0	7089	FullDelay	0.0800348	80034.8	1	4
1.78003	0	0	210	LastDelay	0.0800347	80034.7	1	4
1.78003	0	0	210	FullDelay	0.0800347	80034.7	1	4
1.79003	0	0	8	LastDelay	0.0800347	80034.7	1	4
1.79003	0	0	8	FullDelay	0.0800347	80034.7	1	4
1.80003	0	0	4	LastDelay	0.0800347	80034.7	1	4
1.80003	0	0	4	FullDelay	0.0800347	80034.7	1	4
1.81003	0	0	171	LastDelay	0.0800347	80034.7	1	4
1.81003	0	0	171	FullDelay	0.0800347	80034.7	1	4
1.82003	0	0	6994	LastDelay	0.0800348	80034.8	1	4
1.82003	0	0	6994	FullDelay	0.0800348	80034.8	1	4
1.83003	0	0	8799	LastDelay	0.0800348	80034.8	1	4
1.83003	0	0	8799	FullDelay	0.0800348	80034.8	1	4
1.84003	0	0	1994	LastDelay	0.0800348	80034.8	1	4
1.84003	0	0	1994	FullDelay	0.0800348	80034.8	1	4
1.85003	0	0	2732	LastDelay	0.0800348	80034.8	1	4
1.85003	0	0	2732	FullDelay	0.0800348	80034.8	1	4
1.86003	0	0	8317	LastDelay	0.0800348	80034.8	1	4
1.86003	0	0	8317	FullDelay	0.0800348	80034.8	1	4
1.87003	0	0	16	LastDelay	0.0800347	80034.7	1	4
1.87003	0	0	16	FullDelay	0.0800347	80034.7	1	4
1.88003	0	0	5483	LastDelay	0.0800348	80034.8	1	4
1.88003	0	0	5483	FullDelay	0.0800348	80034.8	1	4
1.89003	0	0	9885	LastDelay	0.0800348	80034.8	1	4
1.89003	0	0	9885	FullDelay	0.0800348	80034.8	1	4
1.90003	0	0	328	LastDelay	0.0800348	80034.8	1	4
1.90003	0	0	328	FullDelay	0.0800348	80034.8	1	4
1.91003	0	0	2736	LastDelay	0.0800348	80034.8	1	4
1.91003	0	0	2736	FullDelay	0.0800348	80034.8	1	4
1.92003	0	0	3370	LastDelay	0.0800348	80034.8	1	4
1.92003	0	0	3370	FullDelay	0.0800348	80034.8	1	4
1.93003	0	0	809	LastDelay	0.0800348	80034.8	1	4
1.93003	0	0	809	FullDelay	0.0800348	80034.8	1	4
1.94003	0	0	2210	LastDelay	0.0800348	80034.8	1	4
1.94003	0	0	2210	FullDelay	0.0800348	80034.8	1	4
1.95003	0	0	1509	LastDelay	0.0800348	80034.8	1	4
1.95003	0	0	1509	FullDelay	0.0800348	80034.8	1	4
1.96003	0	0	1932	LastDelay	0.0800348	80034.8	1	4
1.96003	0	0	1932	FullDelay	0.0800348	80034.8	1	4
1.97003	0	0	4	LastDelay	0.0800347	80034.7	1	4
1.97003	0	0	4	FullDelay	0.0800347	80034.7	1	4
1.98003	0	0	433	LastDelay	0.0800348	80034.8	1	4
1.98003	0	0	433	FullDelay	0.0800348	80034.8	1	4
1.99003	0	0	4547	LastDelay	0.0800348	80034.8	1	4
1.99003	0	0	4547	FullDelay	0.0800348	80034.8	1	4
2.00003	0	0	21	LastDelay	0.0800347	80034.7	1	4
2.00003	0	0	21	FullDelay	0.0800347	80034.7	1	4
2.01003	0	0	15	LastDelay	0.0800347	80034.7	1	4
2.01003	0	0	15	FullDelay	0.0800347	80034.7	1	4
2.02003	0	0	1613	LastDelay	0.0800348	80034.8	1	4
2.02003	0	0	1613	FullDelay	0.0800348	80034.8	1	4
2.03003	0	0	34	LastDelay	0.0800347	80034.7	1	4
2.03003	0	0	34	FullDelay	0.0800347	80034.7	1	4
2.04003	0	0	4379	LastDelay	0.0800348	80034.8	1	4
2.04003	0	0	4379	FullDelay	0.0800348	80034.8	1	4
2.05003	0	0	2440	LastDelay	0.0800348	80034.8	1	4
2.05003	0	0	2440	FullDelay	0.0800348	80034.8	1	4
2.06003	0	0	8607	LastDelay	0.0800348	80034.8	1	4
2.06003	0	0	8607	FullDelay	0.0800348	80034.8	1	4
2.07003	0	0	5452	LastDelay	0.0800348	80034.8	1	4
